ue,freq,act_theta,reduction,score
1.664,0.267,0.509,8.3710608347605273,9.2297389051001328
1.507,0.19,0.62,3.7402075851722998,9.2035662216021361
2.012,0.132,0.393,15.682515832586091,9.2611974535113486
2.981,0.17,0.481,15.96699184536449,9.1666525773297725
2.329,0.144,0.456,14.811671523436686,9.2268812414152208
2.377,0.191,0.393,18.423719065937576,9.2505444473698262
3.195,0.209,0.38,25.745669472376321,9.2165119202937245
2.306,0.187,0.731,-0.21424450276671791,9.1117820970894527
0.421,0.24,0.707,-0.023828084777377967,9.2160756139118831
2.306,0.196,0.687,0.76650340137041439,9.1194338300667557
2.981,0.232,0.481,16.128216065871115,9.1679104384779713
2.927,0.172,0.254,13.958846276111672,9.1573657928971954
3.892,0.24,0.659,4.7296768185240552,8.9537536978371168
3.284,0.13,0.256,15.466193057007118,9.1247794769292394
1.146,0.132,0.705,-0.060431060822580207,9.1930685398130834
3.284,0.102,0.318,18.928720124762009,9.1517938936181569
3.8,0.24,0.43,26.837469619932037,9.140390575834445
3.484,0.284,0.545,16.840618062833798,9.1084306536982638
1.548,0.19,0.507,7.6986848967141981,9.2319449106542049
2.306,0.187,0.509,11.382456697632904,9.202258824726302
3.284,0.232,0.591,13.419514930198133,9.1088114239252338
3.635,0.001,0.707,-0.13419111860234523,8.954494888518024
2.737,0.267,0.4,21.869193608107835,9.2406050213351136
1.507,0.167,0.43,10.910798101594906,9.2595107142590116
2.306,0.267,0.595,8.4036760808892552,9.1790185671829114
3.284,0.102,0.393,20.622701201508534,9.1650102265954612
1.548,0.001,0.45,5.7862745015764716,9.2170244059813093
0.118,0.179,0.545,0.81913317430898758,9.2259186842189589
3.284,0.133,0.256,15.531488012394007,9.1252889040320433
2.329,0.224,0.456,14.69913986232018,9.2260032765287043
2.027,0.202,0.619,5.539383453752464,9.1808496776769033
1.548,0.016,0.507,7.3994811722587315,9.2296105421628845
1.548,0.167,0.43,11.196257848766763,9.2592327531108136
1.548,0.084,0.707,0.083960188639053968,9.1725353111882502
0.368,0.125,0.43,2.8405618958883281,9.2392597429639522
3.892,0.063,0.43,26.439842949403499,9.1231350377570095
1.507,0.232,0.434,11.192547839086046,9.2617089078504673
1.424,0.137,0.566,6.8381259049009628,9.2326014439519355
3.284,0.232,0.587,13.345804396256057,9.1082363390120165
1.813,0.102,0.393,11.21473414190416,9.2415636039786389
3.284,0.266,0.545,15.981626190746269,9.1288008535647531
